Answer,Person,Specific Type,General Type
charles_bulfinch,1,Architect,"architecture,architect"
casey_at_the_bat,0,,
messiah_(handel),0,,
hector_berlioz,1,Composer,"music,composer"
l'incoronazione_di_poppea,0,,
mikhail_glinka,1,Composer,"music,composer"
queensland,0,,
spem_in_alium,0,,
titration,0,,
cosmological_argument,0,,
genghis_khan,1,Monarch,"royalty,monarch"
miss_julie,0,,
vorticity,0,,
cosmic_background_explorer,0,,
month,0,,
the_heart_is_a_lonely_hunter,0,,
nitroglycerin,0,,
alfred_stieglitz,1,Photographer,
cincinnati,0,,
inflation_(cosmology),0,,
osteoporosis,0,,
rickettsia,0,,
dot_product,0,,
auckland,0,,
atacama_desert,0,,
wyoming,0,,
trireme,0,,
hyperthermia,0,,
grand_jury,0,,
surya,0,,
cytokinesis,0,,
three_sisters_(play),0,,
ulysses_s._grant,1,US President,"government,us president"
apoptosis,0,,
the_merry_widow,0,,
inelastic_collision,0,,
thomas_nast,1,Cartoonist,
phnom_penh,0,,
w._h._auden,1,Poet,
henri_matisse,1,Painting Artist,
wu_experiment,0,,
lazio,0,,
robert_the_devil_(gilbert),0,,
nuclear_magnetic_resonance_spectroscopy,0,,
uqbar,0,,
neoprene,0,,
treasure_island,0,,
project_mercury,0,,
oskar_kokoschka,1,Painting Artist,
marshall_mcluhan,1,Philosopher,
lewis_cass,1,U.S. Congressperson,"government,u s congressperson"
actaeon,0,,
my_antonia,0,,
karna,0,,
alexander_hamilton,1,U.S. Congressperson,"government,u s congressperson"
conjunctivitis,0,,
antonio_lopez_de_santa_anna,0,,
a._e._housman,1,Writer,
deborah,1,Prophet,
iran,0,,
synchrotron_radiation,0,,
herman_melville,1,Novelist,
simon_kuznets,1,Economist,
ragtime,0,,
acadia,0,,
belize,0,,
solar_flare,0,,
displacement_current,0,,
nicias,1,Politician,"government,politician"
exclusionary_rule,0,,
the_history_of_sexuality,0,,
vasopressin,0,,
hokusai,1,Painting Artist,
thomas_hobbes,1,Philosopher,
lagos,0,,
felix_mendelssohn,0,,
falun_gong,0,,
parathyroid_gland,0,,
john_stuart_mill,1,Philosopher,
sita,1,Pop Artist,
sugar_beet,0,,
semiramide,0,,
notes_from_underground,0,,
the_four_stages_of_cruelty,0,,
caspian_sea,0,,
anna_o.,0,,
sigrid_undset,1,Novelist,
socialism_in_one_country,0,,
reification_(marxism),0,,
gestalt_psychology,0,,
h._g._wells,1,Novelist,
nautilus,0,,
sigmund_freud,1,Philosopher,
the_kallikak_family,0,,
rydberg_constant,0,,
species,0,,
nebuchadnezzar_ii,1,Architect,"architecture,architect"
second_law_of_thermodynamics,0,,
body_mass_index,1,Musical Group,"music,musical group"
arianism,0,,
idaho,0,,
bass_strait,0,,
electrospray_ionization,0,,
yunnan,0,,
carrying_capacity,0,,
principle_of_least_action,0,,
the_barber_of_seville,0,,
morphine,0,,
capital_asset_pricing_model,0,,
spherical_harmonics,0,,
tula_(mesoamerican_site),0,,
nephthys,0,,
seven_laws_of_noah,0,,
borane,0,,
casablanca,0,,
indra,0,,
pilus,0,,
hell,1,Musical Artist,"music,artist"
clarinet,0,,
eros,0,,
selenium,0,,
jerry_fodor,1,Philosopher,
claisen_condensation,0,,
paracelsus,1,Astrologer,
archaea,0,,
richard_leakey,1,Academic,"education,academic"
sinoatrial_node,0,,
asch_conformity_experiments,0,,
jane_addams,1,Author,"book,author"
lymph_node,0,,
aphasia,1,Musical Artist,"music,artist"
logical_positivism,0,,
eustachian_tube,0,,
accretion_disc,0,,
trent_affair,0,,
the_merry_wives_of_windsor,0,,
albinism,0,,
maslow's_hierarchy_of_needs,0,,
symposium_(plato),0,,
kuiper_belt,0,,
louis_riel,1,Politician,"government,politician"
in_search_of_lost_time,0,,
isospin,0,,
telamon,0,,
la_dolce_vita,0,,
pythagoras,1,Philosopher,
the_tin_drum,0,,
eugene_v._debs,1,Politician,"government,politician"
willard_van_orman_quine,1,Philosopher,
algae,0,,
green_mountain_boys,0,,
loop_of_henle,0,,
plague_(disease),0,,
william_shakespeare,1,Dramatist,
easter_rising,0,,
raymond_chandler,1,Novelist,
francis_drake,1,Military Commander,"military,military commander"
pleural_cavity,0,,
andy_warhol,1,Printmaking Artist,
the_makropulos_affair_(opera),0,,
quantum_dot,0,,
villanelle,0,,
basal_metabolic_rate,0,,
giselle,0,,
david_livingstone,1,Physician,"medicine,physician"
samaritans,0,,
henry_fuseli,1,Painting Artist,
second_vatican_council,0,,
pauli_exclusion_principle,0,,
cysteine,0,,
getulio_vargas,0,,
cyanobacteria,0,,
punctuated_equilibrium,0,,
alfred_the_great,1,Monarch,"royalty,monarch"
cherokee,1,Pornographic actor,
henna,0,,
the_fall_of_the_house_of_usher,0,,
neuroglia,0,,
proline,0,,
william_carlos_williams,1,Novelist,
thaddeus_stevens,1,U.S. Congressperson,"government,u s congressperson"
evolution_of_cetaceans,0,,
diphtheria,0,,
atomism,0,,
rhiannon,0,,
theosophy,0,,
the_sleeping_beauty_(ballet),0,,
serotonin,0,,
tonga,0,,
mark_twain,1,Novelist,
triphenylphosphine,0,,
christo_and_jeanne-claude,0,,
neoptolemus,1,Military Person,"military,military person"
francis_bacon_(artist),1,Painting Artist,
charlie_parker,1,Bebop Artist,
bhima,0,,
french_guiana,0,,
general_relativity,0,,
copyright,0,,
giant_panda,0,,
altiplano,0,,
ascomycota,0,,
sundarbans,0,,
henry_i_of_england,1,Monarch,"royalty,monarch"
rotterdam,0,,
somalia,0,,
council_of_trent,0,,
bernoulli's_principle,0,,
florence_cathedral,0,,
sarah_orne_jewett,1,Novelist,
kusanagi,0,,
paul_ehrlich,1,Academic,"education,academic"
thermonuclear_fusion,0,,
arrow's_impossibility_theorem,0,,
haber_process,0,,
edward_burnett_tylor,1,Anthropologist,
antonio_vivaldi,1,Composer,"music,composer"
pockels_effect,0,,
inigo_jones,1,Architect,"architecture,architect"
derek_walcott,1,Poet,
the_decameron,0,,
rabindranath_tagore,1,Novelist,
an_enemy_of_the_people,0,,
class_consciousness,0,,
edwin_hubble,1,Physicist,
mantra,1,Actor,
schizophrenia,0,,
the_master_and_margarita,0,,
kurt_vonnegut,1,Novelist,
phenomenology_(philosophy),0,,
neoconservatism,0,,
john_updike,1,Novelist,
joseph_of_arimathea,1,Deceased Person,"people,deceased person"
alcibiades_(fictional_character),0,,
alexander_h._stephens,1,U.S. Congressperson,"government,u s congressperson"
united_methodist_church,0,,
carl_wilhelm_scheele,1,Chemist,
clifford_odets,1,Dramatist,
zechariah_(hebrew_prophet),0,,
b_vitamins,0,,
frederic_remington,1,Painting Artist,
la_belle_dame_sans_merci,0,,
max_wertheimer,1,Psychologist,
histamine,0,,
leaves_of_grass,0,,
proton,0,,
richard_serra,1,Visual Artist,"visual art,visual artist"
linux,0,,
julio_cortazar,0,,
yukon,0,,
daedalus,0,,
kristin_lavransdatter,0,,
pierre_curie,1,Physicist,
the_problem_of_social_cost,0,,
falkland_islands,0,,
mombasa,0,,
maitreya,1,Deity,"religion,deity"
areopagitica,0,,
cosi_fan_tutte,0,,
potlatch,0,,
monroe_doctrine,0,,
prince_igor,0,,
sutton_hoo,0,,
octatonic_scale,0,,
dead_sea_scrolls,0,,
washington_irving,1,Novelist,
freezing-point_depression,0,,
ester,0,,
flatiron_building,0,,
tuvalu,0,,
beowulf,0,,
first_triumvirate,0,,
van_der_waals_equation,0,,
taipei,0,,
alcibiades,1,Statesman,
fernand_braudel,1,Historian,
stephen_a._douglas,1,U.S. Congressperson,"government,u s congressperson"
norman_mailer,1,Novelist,
resonance_(chemistry),0,,
athol_fugard,1,Novelist,
louisa_may_alcott,1,Novelist,
kyrgyzstan,0,,
the_concept_of_mind,0,,
tisha_b'av,0,,
mali_empire,0,,
penthesilea,0,,
moraine,0,,
price_elasticity_of_demand,0,,
permittivity,0,,
soma,0,,
correspondence_principle,0,,
symmetry_(physics),0,,
transition_state,0,,
ludwig_prandtl,1,Physicist,
entropy_(classical_thermodynamics),0,,
walter_kaufmann_(philosopher),1,Philosopher,
milgram_experiment,0,,
feynman_diagram,0,,
kernel_(computing),0,,
galaxy_rotation_curve,0,,
the_poverty_of_philosophy,0,,
gnome,0,,
chicago_(poem),0,,
australopithecus,0,,
pride_and_prejudice,0,,
tierra_del_fuego_(main_island),0,,
don_quixote,0,,
sylvia_(ballet),0,,
quetzalcoatl,0,,
membrane_potential,0,,
battle_of_agincourt,0,,
tryptophan,0,,
phenylalanine,0,,
action_potential,0,,
pre-raphaelite_brotherhood,0,,
aurora_(astronomy),0,,
stephen_crane,1,Novelist,
psychosis,0,,
curl_(mathematics),0,,
adlai_stevenson_ii,1,Politician,"government,politician"
willa_cather,1,Novelist,
activity_coefficient,0,,
kidney,0,,
melampus,0,,
autolycus,0,,
phidias,1,Visual Artist,"visual art,visual artist"
ben_nevis,0,,
betty_friedan,1,Writer,
a_letter_concerning_toleration,0,,
zither,0,,
jainism,0,,
john_adams,1,US President,"government,us president"
kansas,0,,
tundra,0,,
vestal_virgin,0,,
history_of_parkinson's_disease,0,,
rigid_designator,0,,
surfactants_in_paint,0,,
giuseppe_garibaldi,1,Military Commander,"military,military commander"
jean-luc_godard,1,Film director,"film,director"
andrea_mantegna,1,Painting Artist,
corundum,0,,
rydberg_formula,0,,
the_paranoid_style_in_american_politics,0,,
mount_hood,0,,
lag_baomer,0,,
william_blake,1,Poet,
stone_age,0,,
jersey_devil,0,,
ammonia,0,,
the_last_supper_(leonardo_da_vinci),0,,
john_paul_jones,1,Hard rock Artist,
mosque,0,,
huldrych_zwingli,1,Founding Figure,"religion,founding figure"
george_bernard_shaw,1,Dramatist,
das_kapital,0,,
mahayana_sutras,0,,
maat,0,,
frederick_soddy,1,Chemist,
allan_pinkerton,1,Spy,
tosca,1,Downtempo Artist,
roman_forum,0,,
billie_holiday,1,Traditional pop Artist,
half-life,0,,
portrait_of_dr._gachet,0,,
chihuahua_(state),0,,
reflection_(physics),0,,
eleanor_roosevelt,1,Politician,"government,politician"
geography_of_chad,0,,
vampire,0,,
battle_of_gettysburg,0,,
north_atlantic_oscillation,0,,
nuclear_fission,0,,
dietrich_bonhoeffer,1,Theologian,
aztec_mythology,0,,
legionnaires'_disease,0,,
sistine_chapel,0,,
black_stone,0,,
rosary,0,,
flashbulb_memory,0,,
schubert's_last_sonatas,0,,
buckwheat,0,,
mount_kilimanjaro,0,,
sicily,0,,
beyond_good_&amp;_evil_(video_game),0,,
caligula,1,Roman Emperor,
meson,0,,
the_wild_duck,0,,
metaphor,1,Musical Artist,"music,artist"
the_great_wave_off_kanagawa,0,,
caucasus_mountains,0,,
murray_river,0,,
robert_fogel,1,Economist,
coriolanus,0,,
eutrophication,0,,
georg_simmel,1,Academic,"education,academic"
bcs_theory,0,,
alejo_carpentier,1,Novelist,
red_queen_hypothesis,0,,
chinese_calligraphy,0,,
salat,0,,
golan_heights,0,,
conformity,0,,
battle_of_tannenberg,0,,
cerebrospinal_fluid,0,,
philadelphia_chromosome,0,,
jean_auguste_dominique_ingres,0,,
valhalla,0,,
spartacus,1,Soldier,
faraday_effect,0,,
peroxisome,0,,
kolkata,0,,
halo_effect,0,,
sardinia,0,,
richard_strauss,1,Chamber Artist,
glenn_miller,1,Swing Artist,
ibiza,0,,
the_color_purple,0,,
olduvai_gorge,0,,
jean_sibelius,1,Incidental Artist,
nikolai_rimsky-korsakov,1,Composer,"music,composer"
io_(moon),0,,
copts,0,,
cass_gilbert,1,Architect,"architecture,architect"
sperm,0,,
equatorial_guinea,0,,
samoan_islands,0,,
janus_(programming_language),0,,
general_equilibrium_theory,0,,
1812_overture,0,,
peterloo_massacre,0,,
spinal_cord,0,,
creative_destruction,0,,
ismailism,0,,
the_massacre_at_chios,0,,
zagreb,0,,
venus_(mythology),0,,
dura_mater,0,,
auguste_comte,1,Philosopher,
veliky_novgorod,0,,
taj_mahal,1,Blues Artist,
art_deco,0,,
titian,1,Painting Artist,
thus_spoke_zarathustra,0,,
maria_theresa,1,Monarch,"royalty,monarch"
kate_chopin,1,Novelist,
einstein_field_equations,0,,
creation_science,0,,
bell_hooks,1,Philosopher,
law_of_mass_action,0,,
williamson_ether_synthesis,0,,
protein_folding,0,,
brian_mulroney,1,,
heimdall_(comics),0,,
beaver_island_(lake_michigan),0,,
adirondack_mountains,0,,
jacques_lacan,1,Philosopher,
siena,0,,
lord_jim,0,,
miguel_de_cervantes,1,Novelist,
subject_(grammar),0,,
institutes_of_the_christian_religion,0,,
cosmic_ray,0,,
thomas_kuhn,1,Philosopher,
johann_joachim_winckelmann,1,Art Historian,
nineteen_eighty-four,0,,
vermiform_appendix,0,,
mammalian_target_of_rapamycin,0,,
akhnaten_(opera),0,,
elasticity_(physics),0,,
donald_davidson_(philosopher),1,Philosopher,
the_triumph_of_death,0,,
art_nouveau,0,,
pierre_puget,1,Painting Artist,
christopher_marlowe,1,Dramatist,
margaret_mead,1,Anthropologist,
franz_liszt,1,Composer,"music,composer"
bret_harte,1,Writer,
martial_law,0,,
august_strindberg,1,Novelist,
john_mearsheimer,1,Professor,
pharisees,0,,
sons_and_lovers,0,,
ankle,0,,
neurotransmitter,0,,
doris_lessing,1,Novelist,
okazaki_fragments,0,,
golden_apple,0,,
reconstructionist_judaism,0,,
john_milton,1,Poet,
tang_dynasty,0,,
amide,0,,
anthony_powell,1,Novelist,
crown-of-thorns_starfish,0,,
saint_sebastian,1,Deceased Person,"people,deceased person"
chandrasekhar_limit,0,,
sartor_resartus,0,,
deimos_(moon),0,,
river_shannon,0,,
ernest_rutherford,1,Physicist,
henry_moore,1,Sculpture Artist,
manitoba,0,,
metaphysics,1,Electronic Artist,
john_galsworthy,1,Novelist,
napoleon_as_mars_the_peacemaker,0,,
aldosterone,0,,
battle_of_zama,0,,
crassulacean_acid_metabolism,0,,
amu_darya,0,,
montana,0,,
haifa,0,,
cubism,0,,
klinefelter_syndrome,0,,
bessel_function,0,,
lake_champlain,0,,
triptych_of_the_temptation_of_st._anthony,0,,
agamemnon,0,,
black_sea,0,,
action_(physics),0,,
ancient_society,0,,
lewis_mumford,1,Historian,
opium_wars,0,,
murray_gell-mann,1,Physicist,
aeolus,1,Author,"book,author"
abdomen,0,,
w._somerset_maugham,1,Novelist,
a_portrait_of_the_artist_as_a_young_man,0,,
markovnikov's_rule,0,,
fatty_acid_synthesis,0,,
eudora_welty,1,Novelist,
carbon_monoxide,0,,
dna_ligase,0,,
climax_community,0,,
sulfur,0,,
john_muir,1,Environmentalist,
chiang_kai-shek,1,Military Commander,"military,military commander"
michigan,0,,
mass_(music),0,,
bonaventure,1,Philosopher,
wnt_signaling_pathway,0,,
salvador_dali,0,,
arcangelo_corelli,1,Composer,"music,composer"
syllogism,0,,
deer_in_mythology,0,,
molybdenum,0,,
kinetic_isotope_effect,0,,
alessandro_volta,1,Physicist,
shaka,1,Military Commander,"military,military commander"
rupert_brooke,1,Writer,
typhon,0,,
white_house,0,,
navarre,0,,
pygmalion_(play),0,,
albania,0,,
schwa,0,,
elizabeth_barrett_browning,1,Poet,
rokeby_venus,0,,
cyclotron,0,,
caliban,1,Hardcore punk Artist,
john_keats,1,Poet,
teleological_argument,0,,
arnolfini_portrait,0,,
tantra,0,,
magi,0,,
oil_drop_experiment,0,,
rna_splicing,0,,
kulturkampf,0,,
kazimir_malevich,1,Painting Artist,
hippolyte_et_aricie,0,,
gravity_of_earth,0,,
sonic_hedgehog,0,,
hox_gene,0,,
diego_garcia,0,,
the_love_for_three_oranges,0,,
giorgio_de_chirico,1,Painting Artist,
fort_ticonderoga,0,,
lorentz_force,0,,
claudio_monteverdi,1,Baroque Artist,
berlin_wall,0,,
the_tale_of_genji,0,,
vesicle_(biology_and_chemistry),0,,
satanic_verses,0,,
fullerene,0,,
magnitude_(astronomy),0,,
tartuffe,0,,
nikita_khrushchev,1,Military Commander,"military,military commander"
immanuel_kant,1,Philosopher,
enthalpy,0,,
mitochondrial_dna,0,,
paul_samuelson,1,Economist,
neuron,0,,
catacombs_of_rome,0,,
niger_river,0,,
lot_(biblical_person),0,,
july's_people,0,,
john_wesley,1,Preacher,
micah_(prophet),1,Prophet,
last_judgment_(van_der_weyden),0,,
human_intelligence,0,,
black_paintings,0,,
l'elisir_d'amore,0,,
shamanism,0,,
oligochaeta,0,,
salivary_gland,0,,
bleak_house,0,,
jacob_riis,1,Author,"book,author"
dharma,0,,
charles_taze_russell,1,Founding Figure,"religion,founding figure"
ralph_waldo_emerson,1,Philosopher,
persistent_vegetative_state,0,,
centrifugal_force_(rotating_reference_frame),0,,
johannes_kepler,1,Physicist,
hans_bethe,1,Physicist,
jackson_pollock,1,Painting Artist,
ames_test,0,,
taq_polymerase,0,,
microtubule,0,,
pelagianism,0,,
ibn_khaldun,1,Historian,
landscape_with_the_fall_of_icarus,0,,
ljubljana,0,,
cuneiform,0,,
daniel_chester_french,1,Sculpture Artist,
heinrich_heine,1,Poet,
munich,0,,
turbulence,1,Musical Artist,"music,artist"
attila,1,Politician,"government,politician"
claude_monet,1,Painting Artist,
amelia_earhart,1,Aviator,
geostationary_orbit,0,,
benzene,0,,
tractatus_logico-philosophicus,0,,
shem,0,,
stanley_cavell,1,Philosopher,
hydrazine,0,,
the_open_society_and_its_enemies,0,,
death_of_a_salesman,0,,
thomas_precession,0,,
antiaromaticity,0,,
damien_hirst,1,Painting Artist,
john_wycliffe,1,Author,"book,author"
gregory_bateson,1,Anthropologist,
myron,1,Visual Artist,"visual art,visual artist"
moral_hazard,0,,
endosymbiotic_theory,0,,
invisible_man,0,,
mao_zedong,1,Military Commander,"military,military commander"
teotihuacan,0,,
tongue,0,,
rings_of_saturn,0,,
wilmot_proviso,0,,
endocrine_gland,0,,
human_action,0,,
ghent_altarpiece,0,,
rosh_chodesh,0,,
gustav_holst,1,Composer,"music,composer"
imine,0,,
poinsettia,0,,
a_raisin_in_the_sun,0,,
progress_and_poverty,0,,
david_alfaro_siqueiros,1,Painting Artist,
symphony_no._7_(shostakovich),0,,
works_by_francis_bacon,0,,
ernst_mach,1,Physicist,
west_side_story_(film),0,,
alessandro_scarlatti,1,Composer,"music,composer"
mary_leakey,1,Archaeologist,
siegfried_(opera),0,,
anaximander,1,Philosopher,
cello,1,Bass guitar Player,
superstring_theory,0,,
le_corbusier,1,Modern Architect,
babur,1,Monarch,"royalty,monarch"
grace_(christianity),0,,
endymion_(poem),0,,
chromosome,0,,
titus_andronicus,0,,
vacuole,0,,
lake_ladoga,0,,
prayer_wheel,0,,
"the_life_and_opinions_of_tristram_shandy,_gentleman",0,,
translation_(biology),0,,
immanuel_wallerstein,1,Sociologist,
fra_angelico,1,Painting Artist,
ruth_benedict,1,Anthropologist,
george_santayana,1,Philosopher,
phineus,0,,
phosphorus,0,,
sphinx,0,,
linear_b,0,,
atheism,0,,
congenital_heart_defect,0,,
liver,0,,
sichuan,0,,
spoon_river_anthology,0,,
tajikistan,0,,
guerrero,0,,
saint_ursula,1,Deceased Person,"people,deceased person"
afar_triangle,0,,
john_cabot,1,Explorer,
hannah_(biblical_figure),0,,
the_creation_(haydn),0,,
poliovirus,0,,
virginia_woolf,1,Novelist,
guadalcanal,0,,
cholesterol,0,,
alexis_de_tocqueville,1,Historian,
chandragupta_maurya,1,Noble person,"royalty,noble person"
mono_lake,0,,
cosmic_microwave_background,0,,
lake_tahoe,0,,
pragmatism,0,,
milan_kundera,1,Novelist,
book_of_baruch,0,,
the_hay_wain,0,,
simian_immunodeficiency_virus,0,,
shatt_al-arab,0,,
boron,0,,
vapor_pressure,0,,
the_musical_offering,0,,
sam_houston,1,U.S. Congressperson,"government,u s congressperson"
parashurama,1,Deity,"religion,deity"
ecological_succession,0,,
oman,0,,
piano_sonata_no._29_(beethoven),0,,
virial_theorem,0,,
ultraviolet_catastrophe,0,,
born-oppenheimer_approximation,0,,
joshua,1,Prophet,
emanuel_swedenborg,1,Philosopher,
netherlandish_proverbs,0,,
gila_monster,0,,
jean-baptiste_lully,1,Baroque Artist,
ark_of_the_covenant,0,,
john_dalton,1,Physicist,
principle_of_locality,0,,
euripides,1,Dramatist,
barnacle,0,,
dido_(queen_of_carthage),0,,
myocardial_infarction,0,,
dream_caused_by_the_flight_of_a_bee_around_a_pomegranate_a_second_before_awakening,0,,
jules_verne,1,Novelist,
a._philip_randolph,0,,
deadweight_loss,0,,
berlin,0,,
biotin,0,,
subrahmanyan_chandrasekhar,1,Physicist,
glottochronology,0,,
hillel_the_elder,1,Rabbi,
discovery_of_cosmic_microwave_background_radiation,0,,
rhizobia,0,,
pineal_gland,0,,
benjamin_britten,1,Composer,"music,composer"
niobium,0,,
trinidad_and_tobago,0,,
laetoli,0,,
northanger_abbey,0,,
adolf_eichmann,1,Military Person,"military,military person"
dna_sequencing,0,,
black_hole,0,,
to_his_coy_mistress,0,,
the_nightmare,0,,
risk,0,,
alvin_ailey,1,Dancer,
metalloid,0,,
charon_(moon),0,,
count_basie,1,Bandleader,
prison_notebooks,0,,
listeria_monocytogenes,0,,
thanatopsis,0,,
eric_whitacre,1,Composer,"music,composer"
the_satanic_verses,0,,
the_will_to_believe,0,,
glycogen,0,,
capitalism,0,,
karl_ernst_von_baer,1,Academic,"education,academic"
french_republican_calendar,0,,
charlemagne,1,Monarch,"royalty,monarch"
ronald_coase,1,Economist,
alternation_of_generations,0,,
william_dean_howells,1,Novelist,
auguste_rodin,1,Sculptor,
general_agreement_on_tariffs_and_trade,0,,
bosnia_and_herzegovina,0,,
saint_peter,1,Religious Leader,"religion,religious leader"
jacob,1,Religious Leader,"religion,religious leader"
hermann_hesse,1,Novelist,
damascus,0,,
larmor_precession,0,,
belarus,0,,
atherosclerosis,0,,
andrea_palladio,1,Architect,"architecture,architect"
kantele,0,,
baba_yaga,1,Musical Artist,"music,artist"
epidermis_(skin),0,,
abscisic_acid,0,,
pyrrole,0,,
bonn,0,,
auteur_theory,0,,
walter_mondale,1,US Vice President,"government,us vice president"
encephalitis,0,,
bone,0,,
nocturnes_(chopin),0,,
robinson_crusoe,0,,
fragile_x_syndrome,0,,
saraswati,0,,
albrecht_altdorfer,1,Painting Artist,
blenheim_palace,0,,
confucianism,0,,
roald_amundsen,1,Explorer,
gradient,1,Musical Artist,"music,artist"
fiji,1,Musical Artist,"music,artist"
bauhaus,0,,
autotroph,0,,
hannah_arendt,1,Philosopher,
transformation_(genetics),0,,
drang_nach_osten,0,,
druze,0,,
birefringence,0,,
lake_maracaibo,0,,
principal_quantum_number,0,,
david_hume,1,Philosopher,
creep_(deformation),0,,
lucius_vorenus_(rome_character),0,,
haymarket_affair,0,,
the_last_of_the_mohicans,0,,
hannibal,1,Military Commander,"military,military commander"
horn_(instrument),0,,
fountain_(duchamp),0,,
j._d._salinger,1,Novelist,
tachyon,0,,
a_doll's_house,0,,
dwarf_planet,0,,
praxiteles,1,Visual Artist,"visual art,visual artist"
dido_and_aeneas,0,,
gospel_of_luke,0,,
thomas_aquinas,1,Philosopher,
council_of_ephesus,0,,
occam's_razor,0,,
staten_island,0,,
zedekiah,1,Monarch,"royalty,monarch"
giambologna,1,Visual Artist,"visual art,visual artist"
giulio_cesare,0,,
leon_battista_alberti,1,Philosopher,
forbidden_planet,0,,
neutrino_oscillation,0,,
lewis_structure,0,,
william_faulkner,1,Novelist,
"string_quartets,_op._20_(haydn)",0,,
solomon,1,Monarch,"royalty,monarch"
millennium_park,0,,
mind,0,,
vitamin_b12,0,,
ganymede_(mythology),0,,
camille_paglia,1,Writer,
woodrow_wilson,1,US President,"government,us president"
taxonomy_(biology),0,,
heitor_villa-lobos,1,Composer,"music,composer"
amahl_and_the_night_visitors,0,,
ashley_montagu,1,Anthropologist,
mollusca,0,,
the_ghost_in_the_machine,0,,
orogeny,0,,
oregon_trail,0,,
ludwig_feuerbach,1,Philosopher,
anthony_trollope,1,Novelist,
nevada,0,,
horace_greeley,1,U.S. Congressperson,"government,u s congressperson"
fear_and_trembling,0,,
pleistocene,0,,
sid_meier's_alpha_centauri,0,,
grand_unified_theory,0,,
winged_victory_of_samothrace,0,,
the_economic_consequences_of_the_peace,0,,
marsyas,0,,
cat's_cradle,0,,
v-j_day_in_times_square,0,,
bahrain,0,,
lotus_sutra,0,,
stained_glass,0,,
azide-alkyne_huisgen_cycloaddition,0,,
louis_armstrong,1,Swing Artist,
eoraptor,0,,
christian_wolff_(philosopher),1,Philosopher,
lake_biwa,0,,
lectures_on_the_philosophy_of_history,0,,
niddah,0,,
dashiell_hammett,1,Novelist,
in_praise_of_shadows,0,,
liberty_leading_the_people,0,,
feudalism,0,,
epistle_of_jude,0,,
nitrogen_fixation,0,,
juno_(mythology),0,,
mencius,1,Philosopher,
thomas_hart_benton_(painter),1,Painting Artist,
vyacheslav_molotov,1,Politician,"government,politician"
ryan_braun,1,Baseball Player,"baseball,baseball player"
yoshi,0,,
nicolas_malebranche,1,Philosopher,
molecular_orbital,0,,
satyendra_nath_bose,1,Physicist,
antimony,0,,
namib_desert,0,,
porgy_and_bess,0,,
the_jungle,0,,
leeroy_jenkins,0,,
baboon,0,,
robert_koch,1,Academic,"education,academic"
jacob_epstein,1,Sculpture Artist,
lymphocyte,0,,
william_h._seward,1,U.S. Congressperson,"government,u s congressperson"
david_ricardo,1,Economist,
pontormo,1,Painting Artist,
south_africa,0,,
annunciation_(leonardo),0,,
lytic_cycle,0,,
african_elephant,0,,
peter_paul_rubens,1,Painting Artist,
cartilage,0,,
gel_electrophoresis,0,,
far_from_the_madding_crowd,0,,
guelphs_and_ghibellines,0,,
diocletian,1,Monarch,"royalty,monarch"
peyote,0,,
arsenic,0,,
ether,0,,
aethelred_the_unready,0,,
rigoletto,0,,
cymbeline,0,,
"banqueting_house,_whitehall",0,,
biblical_apocrypha,0,,
mushroom,0,,
colligative_properties,0,,
acetylation,0,,
the_colossus_(painting),0,,
hudson_bay,0,,
grand_canyon,0,,
toni_morrison,1,Novelist,
tuatara,0,,
battle_of_the_centaurs_(michelangelo),0,,
jean_piaget,1,Psychologist,
b._f._skinner,1,Psychologist,
the_rape_of_the_sabine_women,0,,
guru_maneyo_granth,0,,
philip_johnson,1,Architect,"architecture,architect"
evil_eye,0,,
memnon_(mythology),0,,
course_in_general_linguistics,0,,
the_crystal_palace,0,,
interactive_proof_system,0,,
tecumseh,1,Military Commander,"military,military commander"
catalysis,0,,
mars_(mythology),0,,
plasma_(physics),0,,
private_language_argument,0,,
many-worlds_interpretation,0,,
john_hancock,1,U.S. Congressperson,"government,u s congressperson"
qualia,0,,
paul_mccartney,1,Hard rock Artist,
neptune,0,,
cygnus_(constellation),0,,
pandora,1,Eurodance Artist,
diphthong,0,,
rational_choice_theory,0,,
penis_envy,0,,
fire_(classical_element),0,,
asteroid_belt,0,,
new_urbanism,0,,
belfast,0,,
xenopus,0,,
invisible_hand,0,,
antiope_(mother_of_amphion),0,,
garbage_collection_(computer_science),0,,
the_voyage_of_life,0,,
brigham_young,1,Politician,"government,politician"
constructivism_(philosophy_of_education),0,,
glass_house,0,,
dna_polymerase,0,,
wilson's_disease,0,,
insanity_defense,0,,
alvar_aalto,1,Architect,"architecture,architect"
pierre_bourdieu,1,Philosopher,
kazuo_ishiguro,1,Novelist,
rubidium,0,,
jupiter,0,,
martin_luther,0,,
idomeneo,0,,
bertrand_russell,1,Philosopher,
george_washington,1,US President,"government,us president"
tom_jones_(film),1,Blues Artist,
powder_diffraction,0,,
giovanni_battista_tiepolo,1,Painting Artist,
gottfried_wilhelm_leibniz,0,,
gordon_allport,1,Psychologist,
miguel_hidalgo_y_costilla,1,Priest,
mrs_dalloway,0,,
aufbau_principle,0,,
council_of_constance,0,,
seneca_falls_convention,0,,
antaeus,0,,
john_harsanyi,1,Economist,
el_salvador,0,,
robert_burns_woodward,1,Chemist,
biosphere_2,0,,
transcription_(genetics),0,,
cardiff,0,,
